Поезд/Нитка,Дней до отправления,Станция отп.,Станция назн.,Тип/Кл.обсл.,Кол-во прод. мест,Сумма по бил.,Сумма по плац.,Сумма серв. усл.,Итого сумма билета,Расстояние
262Э,32,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2038.2,899
262Э,32,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
262Э,32,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
262Э,32,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
135А,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,1Л,1,,,384.0,9547.5,899
135А,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2257.8,899
135А,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
135А,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
135А,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
135А,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
262Э,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2257.8,899
262Э,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
262Э,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3136.3,899
262Э,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2257.8,899
262Э,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
262Э,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2038.2,899
262Э,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
262Э,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
262Э,34,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
135А,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,1Л,1,,,384.0,9547.5,899
135А,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2241.6,899
135А,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
135А,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
135А,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
262Э,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2257.8,899
262Э,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
262Э,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
262Э,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3136.3,899
262Э,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2038.2,899
262Э,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
262Э,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
262Э,36,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
135А,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,1Л,1,,,384.0,8238.4,899
135А,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
135А,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
135А,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
135А,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
262Э,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2257.8,899
262Э,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
262Э,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2257.8,899
262Э,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
262Э,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2038.2,899
262Э,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
262Э,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
262Э,38,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
135А,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,1Л,1,,,384.0,9547.5,899
135А,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
135А,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2038.2,899
135А,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
135А,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
135А,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
262Э,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2257.8,899
262Э,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
262Э,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2257.8,899
262Э,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
262Э,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2038.2,899
262Э,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
262Э,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
262Э,40,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
135А,42,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,1Л,1,,,384.0,9547.5,899
135А,42,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2257.8,899
135А,42,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3868.4,899
135А,42,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2038.2,899
135А,42,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
135А,42,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
262Э,42,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2257.8,899
262Э,42,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
